,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 3, Census Tract 7575, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757500> block group:3",858,0,858,155,98294,256,56,Worcester County,323,196,155
"Block Group 1, Census Tract 7575, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757500> block group:1",1964,197,1964,609,57000,396,356,Worcester County,517,412,301
"Block Group 1, Census Tract 7312.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731202> block group:1",1518,123,1518,173,-666666666,0,0,Worcester County,0,10,0
"Block Group 3, Census Tract 7362, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736200> block group:3",1553,0,1553,136,102690,509,87,Worcester County,474,310,388
"Block Group 1, Census Tract 7362, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736200> block group:1",809,17,809,29,88466,316,23,Worcester County,223,174,236
"Block Group 2, Census Tract 7572, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757200> block group:2",690,55,690,328,24191,32,243,Worcester County,317,68,13
"Block Group 1, Census Tract 7572, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757200> block group:1",1147,20,1147,560,34375,21,382,Worcester County,482,156,18
"Block Group 1, Census Tract 7031, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703100> block group:1",638,0,638,22,-666666666,79,279,Worcester County,323,118,58
"Block Group 3, Census Tract 7031, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703100> block group:3",2299,18,2299,12,69261,769,48,Worcester County,844,444,318
"Block Group 2, Census Tract 7032, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703200> block group:2",1581,20,1581,93,63972,541,78,Worcester County,480,400,281
"Block Group 3, Census Tract 7032, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703200> block group:3",1078,1,1078,292,26250,230,155,Worcester County,315,226,93
"Block Group 3, Census Tract 7443, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744300> block group:3",898,43,898,362,62763,94,236,Worcester County,252,149,145
"Block Group 1, Census Tract 7443, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744300> block group:1",1083,28,1083,329,62981,128,322,Worcester County,464,114,119
"Block Group 3, Census Tract 7444, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744400> block group:3",1269,19,1269,469,60455,214,220,Worcester County,572,122,87
"Block Group 1, Census Tract 7444, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744400> block group:1",1425,0,1425,173,90444,388,175,Worcester County,223,305,388
"Block Group 2, Census Tract 7574, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757400> block group:2",771,0,771,183,74737,240,44,Worcester County,224,181,129
"Block Group 1, Census Tract 7574, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:757400> block group:1",566,0,566,84,69286,160,64,Worcester County,183,160,41
"Block Group 4, Census Tract 7011, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:701100> block group:4",3516,77,3516,114,84063,1017,71,Worcester County,743,975,577
"Block Group 5, Census Tract 7011, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:701100> block group:5",730,0,730,16,-666666666,221,103,Worcester County,220,185,155
"Block Group 1, Census Tract 7011, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:701100> block group:1",2037,17,2037,122,83850,432,213,Worcester County,613,452,248
"Block Group 6, Census Tract 7011, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:701100> block group:6",650,0,650,0,56455,146,170,Worcester County,225,266,92
"Block Group 1, Census Tract 7033, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703300> block group:1",1793,29,1793,29,47083,475,342,Worcester County,611,479,267
"Block Group 2, Census Tract 7033, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:703300> block group:2",1829,0,1829,79,53875,672,37,Worcester County,520,491,345
"Block Group 2, Census Tract 7094, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709400> block group:2",2537,40,2537,954,52945,435,566,Worcester County,772,462,457
"Block Group 1, Census Tract 7094, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709400> block group:1",2244,165,2244,758,27083,156,750,Worcester County,811,320,183
"Block Group 2, Census Tract 7096, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709600> block group:2",988,13,988,266,53500,221,101,Worcester County,319,105,140
"Block Group 1, Census Tract 7096, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709600> block group:1",482,76,482,117,68000,141,99,Worcester County,188,116,91
"Block Group 3, Census Tract 7108, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710800> block group:3",2182,271,2182,761,24460,88,717,Worcester County,862,280,181
"Block Group 2, Census Tract 7108, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710800> block group:2",1260,138,1260,584,38973,179,248,Worcester County,404,183,153
"Block Group 1, Census Tract 7108, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710800> block group:1",1548,102,1548,406,57500,147,179,Worcester County,220,154,216
"Block Group 2, Census Tract 7221, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:722100> block group:2",1068,0,1068,0,46600,339,163,Worcester County,307,253,298
"Block Group 4, Census Tract 7221, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:722100> block group:4",888,0,888,27,85045,117,133,Worcester County,262,116,93
"Block Group 3, Census Tract 7221, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:722100> block group:3",1854,92,1854,48,87778,622,28,Worcester County,579,267,391
"Block Group 1, Census Tract 7221, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:722100> block group:1",1729,23,1729,14,77426,446,101,Worcester County,478,378,451
"Block Group 2, Census Tract 7284, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728400> block group:2",899,0,899,30,91176,267,61,Worcester County,124,140,360
"Block Group 4, Census Tract 7306, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730600> block group:4",2903,191,2903,170,92955,388,38,Worcester County,96,246,508
"Block Group 2, Census Tract 7306, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730600> block group:2",563,18,563,0,-666666666,245,86,Worcester County,144,68,313
"Block Group 3, Census Tract 7306, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730600> block group:3",792,14,792,3,103789,371,15,Worcester County,60,47,558
"Block Group 2, Census Tract 7611, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:761100> block group:2",1190,1,1190,1,79028,352,88,Worcester County,295,271,216
"Block Group 3, Census Tract 7611, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:761100> block group:3",635,0,635,0,68375,242,15,Worcester County,161,116,209
"Block Group 2, Census Tract 7331.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:733102> block group:2",1681,321,1681,123,75648,398,200,Worcester County,440,440,369
"Block Group 3, Census Tract 7395, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739500> block group:3",3023,44,3023,382,117983,957,75,Worcester County,554,430,1074
"Block Group 2, Census Tract 7395, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739500> block group:2",597,0,597,11,-666666666,210,0,Worcester County,17,54,366
"Block Group 3, Census Tract 7402, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740200> block group:3",1241,27,1241,30,139643,308,94,Worcester County,189,173,486
"Block Group 2, Census Tract 7402, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740200> block group:2",1210,20,1210,35,86477,268,264,Worcester County,182,215,523
"Block Group 1, Census Tract 7322.03, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732203> block group:1",1459,628,1459,35,53824,115,449,Worcester County,377,75,508
"Block Group 2, Census Tract 7322.03, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732203> block group:2",1061,7,1061,392,76587,195,132,Worcester County,502,158,120
"Block Group 1, Census Tract 7401.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740102> block group:1",2475,0,2475,0,102250,876,85,Worcester County,356,362,1028
"Block Group 3, Census Tract 7401.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740102> block group:3",1413,0,1413,0,99915,536,23,Worcester County,195,267,586
"Block Group 1, Census Tract 7491, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:749100> block group:1",1870,0,1870,16,100982,577,62,Worcester County,526,380,423
"Block Group 4, Census Tract 7491, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:749100> block group:4",1301,0,1301,0,144583,390,35,Worcester County,152,195,459
"Block Group 3, Census Tract 7491, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:749100> block group:3",1518,0,1518,63,114773,572,0,Worcester County,321,331,477
"Block Group 1, Census Tract 7532, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:753200> block group:1",2173,16,2173,24,58482,681,220,Worcester County,565,293,621
"Block Group 2, Census Tract 7532, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:753200> block group:2",2604,0,2604,0,69318,778,146,Worcester County,852,737,294
"Block Group 3, Census Tract 7131, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:713100> block group:3",816,0,816,0,120341,259,37,Worcester County,156,102,367
"Block Group 1, Census Tract 7131, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:713100> block group:1",2372,53,2372,54,107292,552,82,Worcester County,356,475,448
"Block Group 2, Census Tract 7131, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:713100> block group:2",1588,22,1588,171,67107,446,273,Worcester County,347,357,627
"Block Group 4, Census Tract 7161, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716100> block group:4",840,0,840,0,68088,290,48,Worcester County,194,134,321
"Block Group 1, Census Tract 7161, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716100> block group:1",2605,0,2605,562,112500,805,177,Worcester County,230,514,988
"Block Group 1, Census Tract 7231, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:723100> block group:1",2152,16,2152,56,70078,649,156,Worcester County,523,486,502
"Block Group 2, Census Tract 7231, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:723100> block group:2",873,7,873,48,37708,190,176,Worcester County,353,149,107
"Block Group 1, Census Tract 7309.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730902> block group:1",2476,320,2476,145,98083,315,94,Worcester County,232,154,351
"Block Group 2, Census Tract 7309.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730902> block group:2",666,86,666,73,50972,188,109,Worcester County,221,81,186
"Block Group 4, Census Tract 7314, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731400> block group:4",1160,126,1160,568,42643,44,378,Worcester County,570,154,85
"Block Group 1, Census Tract 7314, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731400> block group:1",780,102,780,500,15270,0,410,Worcester County,419,48,40
"Block Group 2, Census Tract 7314, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731400> block group:2",503,122,503,307,16120,29,210,Worcester County,159,97,56
"Block Group 5, Census Tract 7316, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731600> block group:5",879,28,879,92,16000,0,410,Worcester County,120,154,176
"Block Group 4, Census Tract 7316, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731600> block group:4",1084,84,1084,81,26357,20,192,Worcester County,199,78,151
"Block Group 3, Census Tract 7316, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731600> block group:3",1217,121,1217,378,39476,64,657,Worcester County,233,412,193
"Block Group 1, Census Tract 7316, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731600> block group:1",1842,255,1842,190,42721,55,421,Worcester County,185,173,256
"Block Group 3, Census Tract 7361, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736100> block group:3",617,0,617,47,87813,166,19,Worcester County,227,113,122
"Block Group 1, Census Tract 7361, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736100> block group:1",1019,6,1019,101,101833,310,48,Worcester County,300,146,212
"Block Group 2, Census Tract 7361, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736100> block group:2",1168,14,1168,23,72891,401,70,Worcester County,229,224,372
"Block Group 2, Census Tract 7373, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:737300> block group:2",1632,0,1632,13,121321,533,26,Worcester County,193,359,486
"Block Group 1, Census Tract 7373, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:737300> block group:1",1793,13,1793,16,88068,339,235,Worcester County,571,234,324
"Block Group 4, Census Tract 7373, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:737300> block group:4",1744,1,1744,16,77100,593,95,Worcester County,611,259,443
"Block Group 3, Census Tract 7373, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:737300> block group:3",1657,0,1657,10,104671,467,60,Worcester County,544,292,325
"Block Group 2, Census Tract 7393, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739300> block group:2",2017,202,2017,115,84531,537,359,Worcester County,319,298,945
"Block Group 2, Census Tract 7392, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739200> block group:2",1580,32,1580,0,78024,428,244,Worcester County,348,268,590
"Block Group 1, Census Tract 7451, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:745100> block group:1",2219,16,2219,25,107269,723,184,Worcester County,419,555,727
"Block Group 1, Census Tract 7305, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730500> block group:1",606,229,606,0,46394,50,221,Worcester County,280,64,60
"Block Group 5, Census Tract 7318, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731800> block group:5",745,117,745,208,42794,17,277,Worcester County,398,70,69
"Block Group 2, Census Tract 7318, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731800> block group:2",1535,36,1535,755,42731,94,355,Worcester County,516,334,93
"Block Group 3, Census Tract 7318, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731800> block group:3",1506,374,1506,867,11789,0,683,Worcester County,630,165,102
"Block Group 2, Census Tract 7451, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:745100> block group:2",1264,22,1264,9,73029,399,146,Worcester County,280,283,339
"Block Group 1, Census Tract 7307, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730700> block group:1",1507,76,1507,147,92125,373,174,Worcester County,341,324,511
"Block Group 4, Census Tract 7307, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730700> block group:4",1019,0,1019,293,37200,274,180,Worcester County,255,244,229
"Block Group 3, Census Tract 7307, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730700> block group:3",904,51,904,0,82760,281,27,Worcester County,201,186,237
"Block Group 5, Census Tract 7442, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744200> block group:5",814,0,814,139,97541,223,105,Worcester County,343,139,121
"Block Group 3, Census Tract 7442, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744200> block group:3",2721,25,2721,246,93596,989,107,Worcester County,658,706,584
"Block Group 4, Census Tract 7442, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744200> block group:4",1676,123,1676,24,76932,393,229,Worcester County,318,357,504
"Block Group 2, Census Tract 7442, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744200> block group:2",1103,6,1103,167,72045,140,204,Worcester County,291,179,273
"Block Group 1, Census Tract 7097.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709701> block group:1",1461,135,1461,686,31222,86,572,Worcester County,351,323,218
"Block Group 5, Census Tract 7097.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709701> block group:5",1175,38,1175,119,60781,256,260,Worcester County,370,353,262
"Block Group 3, Census Tract 7097.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709701> block group:3",605,3,605,41,93438,194,82,Worcester County,173,58,241
"Block Group 1, Census Tract 7351, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:735100> block group:1",1225,35,1225,77,63097,257,104,Worcester County,181,215,219
"Block Group 4, Census Tract 7351, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:735100> block group:4",2070,113,2070,29,80268,529,242,Worcester County,813,368,417
"Block Group 2, Census Tract 7351, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:735100> block group:2",1011,0,1011,0,89044,371,30,Worcester County,178,258,256
"Block Group 2, Census Tract 7543, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:754300> block group:2",2419,53,2419,577,35095,143,801,Worcester County,1079,328,161
"Block Group 2, Census Tract 7308.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730802> block group:2",1328,61,1328,203,79730,255,217,Worcester County,268,222,341
"Block Group 2, Census Tract 7481, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:748100> block group:2",1304,2,1304,29,86875,466,26,Worcester County,308,302,338
"Block Group 4, Census Tract 7521, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:752100> block group:4",2783,0,2783,241,125909,785,87,Worcester County,466,743,594
"Block Group 2, Census Tract 7521, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:752100> block group:2",2908,0,2908,210,71048,696,426,Worcester County,725,580,653
"Block Group 1, Census Tract 7521, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:752100> block group:1",1819,24,1819,11,96119,624,81,Worcester County,516,303,362
"Block Group 2, Census Tract 7073, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:707300> block group:2",1688,0,1688,41,52644,361,402,Worcester County,565,419,216
"Block Group 1, Census Tract 7121.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:712101> block group:1",1524,0,1524,73,129375,485,46,Worcester County,275,304,560
"Block Group 2, Census Tract 7121.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:712101> block group:2",1935,12,1935,34,112697,522,253,Worcester County,448,338,584
"Block Group 3, Census Tract 7121.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:712101> block group:3",2164,166,2164,174,60257,689,238,Worcester County,750,551,341
"Block Group 1, Census Tract 7271, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:727100> block group:1",2628,92,2628,105,95551,703,84,Worcester County,351,368,815
"Block Group 3, Census Tract 7271, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:727100> block group:3",1579,266,1579,28,148750,524,16,Worcester County,177,385,605
"Block Group 4, Census Tract 7282, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728200> block group:4",1429,0,1429,20,108571,483,17,Worcester County,247,270,513
"Block Group 3, Census Tract 7282, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728200> block group:3",931,2,931,9,137788,356,9,Worcester County,69,132,477
"Block Group 2, Census Tract 7282, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728200> block group:2",689,62,689,40,106136,256,8,Worcester County,119,116,297
"Block Group 2, Census Tract 7309.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730901> block group:2",1405,108,1405,156,60972,273,260,Worcester County,250,219,453
"Block Group 1, Census Tract 7309.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730901> block group:1",646,21,646,3,88036,233,39,Worcester County,140,100,289
"Block Group 3, Census Tract 7309.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730901> block group:3",1284,50,1284,41,78750,376,167,Worcester County,197,174,630
"Block Group 1, Census Tract 7317, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731700> block group:1",1253,171,1253,134,33602,134,590,Worcester County,275,258,311
"Block Group 2, Census Tract 7317, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731700> block group:2",1600,361,1600,611,29558,38,771,Worcester County,673,162,252
"Block Group 1, Census Tract 7308.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730802> block group:1",700,12,700,74,80278,217,103,Worcester County,114,123,341
"Block Group 1, Census Tract 7171, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:717100> block group:1",777,7,777,0,110917,264,25,Worcester County,261,104,246
"Block Group 1, Census Tract 7326, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732600> block group:1",955,214,955,264,37717,43,501,Worcester County,388,281,71
"Block Group 2, Census Tract 7171, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:717100> block group:2",2367,10,2367,22,95625,694,142,Worcester County,472,372,816
"Block Group 3, Census Tract 7326, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732600> block group:3",555,86,555,186,47650,58,235,Worcester County,228,93,88
"Block Group 4, Census Tract 7326, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732600> block group:4",779,31,779,326,52155,90,232,Worcester County,142,250,167
"Block Group 2, Census Tract 7326, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732600> block group:2",1087,81,1087,524,47734,80,388,Worcester County,363,130,206
"Block Group 1, Census Tract 7241, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:724100> block group:1",1148,0,1148,0,82188,436,40,Worcester County,331,206,296
"Block Group 3, Census Tract 7241, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:724100> block group:3",1371,0,1371,11,63860,327,152,Worcester County,605,231,211
"Block Group 4, Census Tract 7304.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730401> block group:4",1037,333,1037,208,15765,17,497,Worcester County,336,232,54
"Block Group 1, Census Tract 7304.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730401> block group:1",1318,333,1318,0,69375,269,250,Worcester County,352,180,427
"Block Group 1, Census Tract 7320.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732002> block group:1",1434,77,1434,337,63810,288,146,Worcester County,597,134,228
"Block Group 3, Census Tract 7401.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740101> block group:3",2019,2,2019,37,146466,614,22,Worcester County,304,206,889
"Block Group 2, Census Tract 7401.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:740101> block group:2",2439,134,2439,128,128452,566,328,Worcester County,197,351,1108
"Block Group 2, Census Tract 7441.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744102> block group:2",2595,0,2595,220,101685,906,75,Worcester County,584,396,888
"Block Group 2, Census Tract 7531, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:753100> block group:2",883,0,883,48,69475,261,100,Worcester County,314,164,223
"Block Group 5, Census Tract 7531, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:753100> block group:5",2148,57,2148,316,86513,436,249,Worcester County,464,488,310
"Block Group 3, Census Tract 7531, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:753100> block group:3",1962,63,1962,140,72083,520,200,Worcester County,637,349,405
"Block Group 2, Census Tract 7561.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:756102> block group:2",3784,0,3784,322,105934,1184,101,Worcester County,682,766,1047
"Block Group 1, Census Tract 7561.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:756102> block group:1",2558,0,2558,64,94648,828,147,Worcester County,515,420,835
"Block Group 1, Census Tract 7121.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:712102> block group:1",2556,9,2556,218,99706,853,55,Worcester County,624,586,602
"Block Group 5, Census Tract 7441.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744101> block group:5",2022,265,2022,14,114628,694,15,Worcester County,279,427,843
"Block Group 4, Census Tract 7441.01, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:744101> block group:4",1691,17,1691,125,75608,346,322,Worcester County,231,383,552
"Block Group 1, Census Tract 7591, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:759100> block group:1",1124,0,1124,20,75735,370,84,Worcester County,335,253,205
"Block Group 1, Census Tract 7072, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:707200> block group:1",2042,43,2042,180,34349,179,734,Worcester County,803,459,268
"Block Group 2, Census Tract 7304.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730402> block group:2",727,189,727,236,45208,84,194,Worcester County,395,97,114
"Block Group 3, Census Tract 7391, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739100> block group:3",2789,0,2789,219,119914,836,30,Worcester County,382,425,976
"Block Group 2, Census Tract 7391, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739100> block group:2",1282,19,1282,24,122313,289,88,Worcester County,277,100,376
"Block Group 2, Census Tract 7121.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:712102> block group:2",2023,84,2023,166,113906,602,49,Worcester County,360,404,529
"Block Group 5, Census Tract 7365, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:736500> block group:5",1357,0,1357,0,66391,484,83,Worcester County,286,328,357
"Block Group 3, Census Tract 7394, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739400> block group:3",2540,26,2540,91,117734,666,347,Worcester County,432,166,1170
"Block Group 4, Census Tract 7394, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739400> block group:4",1734,0,1734,63,129485,563,33,Worcester County,294,475,561
"Block Group 2, Census Tract 7394, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739400> block group:2",1791,17,1791,392,123333,535,51,Worcester County,156,217,745
"Block Group 1, Census Tract 7394, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739400> block group:1",1218,0,1218,38,142885,350,48,Worcester County,131,94,519
"Block Group 5, Census Tract 7394, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739400> block group:5",1587,126,1587,0,74808,160,382,Worcester County,205,190,549
"Block Group 2, Census Tract 7061, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:706100> block group:2",1226,0,1226,24,64853,500,52,Worcester County,418,309,222
"Block Group 3, Census Tract 7091, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709100> block group:3",1346,62,1346,571,33868,191,327,Worcester County,310,373,240
"Block Group 1, Census Tract 7061, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:706100> block group:1",3416,170,3416,116,99286,1060,120,Worcester County,736,757,833
"Block Group 2, Census Tract 7103, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710300> block group:2",1642,30,1642,318,64083,435,204,Worcester County,638,309,174
"Block Group 1, Census Tract 7103, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710300> block group:1",1435,57,1435,170,85885,399,67,Worcester County,391,284,250
"Block Group 2, Census Tract 7091, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709100> block group:2",1023,0,1023,0,71835,304,115,Worcester County,217,256,327
"Block Group 4, Census Tract 7106, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710600> block group:4",1973,46,1973,927,76029,598,125,Worcester County,1043,185,150
"Block Group 1, Census Tract 7151, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:715100> block group:1",2157,0,2157,21,146542,678,33,Worcester County,189,226,1052
"Block Group 3, Census Tract 7181, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:718100> block group:3",523,0,523,7,67031,208,11,Worcester County,112,157,135
