,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 2, Census Tract 1802, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180200> block group:2",691,0,691,26,57045,215,97,Suffolk County,316,69,140
"Block Group 1, Census Tract 1105.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110501> block group:1",1235,1,1235,211,54615,238,242,Suffolk County,320,336,248
"Block Group 2, Census Tract 1105.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110501> block group:2",1419,208,1419,176,86739,377,211,Suffolk County,171,256,676
"Block Group 3, Census Tract 1105.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110501> block group:3",1084,34,1084,135,131250,313,85,Suffolk County,210,93,573
"Block Group 2, Census Tract 914, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091400> block group:2",1148,635,1148,353,62500,120,178,Suffolk County,452,201,144
"Block Group 1, Census Tract 914, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091400> block group:1",2017,938,2017,770,41458,197,470,Suffolk County,778,350,195
"Block Group 1, Census Tract 1604, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:160400> block group:1",1365,37,1365,758,63867,37,562,Suffolk County,443,183,369
"Block Group 2, Census Tract 1604, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:160400> block group:2",1847,292,1847,1344,43542,92,633,Suffolk County,968,251,126
"Block Group 2, Census Tract 1602, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:160200> block group:2",931,78,931,746,26330,35,307,Suffolk County,498,81,46
"Block Group 1, Census Tract 1602, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:160200> block group:1",1438,11,1438,1377,52308,29,343,Suffolk County,634,148,18
"Block Group 3, Census Tract 1602, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:160200> block group:3",1751,18,1751,1517,54356,74,461,Suffolk County,738,203,106
"Block Group 2, Census Tract 1704, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170400> block group:2",1353,92,1353,497,32455,282,225,Suffolk County,478,109,252
"Block Group 1, Census Tract 1704, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170400> block group:1",890,89,890,212,38636,194,170,Suffolk County,429,76,87
"Block Group 3, Census Tract 1704, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170400> block group:3",1025,37,1025,359,46103,152,208,Suffolk County,551,48,134
"Block Group 4, Census Tract 1704, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170400> block group:4",2614,528,2614,517,62955,356,646,Suffolk County,1052,475,487
"Block Group 2, Census Tract 406, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040600> block group:2",1800,0,1800,32,156042,628,231,Suffolk County,108,145,1246
